segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
pre,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-08-24,1,0.436,1,45.0,39.0,11.0,17.0,4.0,0.0,1.0,24.0,11.0,0.0,1.0,7.0,14.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.436,0.511,0.615,1.126,2021,83
pre,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-08-26,10,0.167,2,76.0,66.0,12.0,11.0,3.0,0.0,1.0,17.0,11.0,0.0,0.0,29.0,20.0,6.0,2.0,0.0,7.0,1.0,0.0,2.0,0.167,0.25,0.258,0.508,2021,84
pre,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-08-27,6,0.227,1,28.0,22.0,2.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,5.0,5.0,0.0,0.0,6.0,1.0,1.0,0.0,0.227,0.37,0.227,0.597,2021,85
pre,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-08-28,4,0.317,1,45.0,41.0,10.0,13.0,1.0,0.0,2.0,20.0,10.0,0.0,0.0,8.0,6.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,0.317,0.378,0.488,0.866,2021,86
pre,1,2021,두산,4,2021-09-01,2021-09-04,2021,두산,2021-08-29,8,0.161,1,34.0,31.0,2.0,5.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,4.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.161,0.235,0.29,0.525,2021,87
pre,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-17,5,0.314,1,38.0,35.0,6.0,11.0,2.0,1.0,0.0,15.0,5.0,4.0,0.0,7.0,11.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.314,0.368,0.429,0.797,2021,57
pre,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-18,1,0.378,1,50.0,45.0,11.0,17.0,4.0,0.0,0.0,21.0,11.0,2.0,0.0,10.0,7.0,4.0,0.0,0.0,12.0,0.0,0.0,1.0,0.378,0.42,0.467,0.887,2021,58
pre,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-19,5,0.313,2,81.0,67.0,12.0,21.0,4.0,0.0,4.0,37.0,12.0,0.0,0.0,18.0,17.0,11.0,0.0,0.0,13.0,5.0,1.0,2.0,0.313,0.4,0.552,0.952,2021,59
pre,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-20,5,0.276,1,31.0,29.0,1.0,8.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,14.0,7.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.276,0.323,0.31,0.633,2021,60
pre,2,2021,두산,5,2021-06-23,2021-06-29,2021,두산,2021-06-22,3,0.371,1,42.0,35.0,10.0,13.0,1.0,0.0,1.0,17.0,10.0,2.0,1.0,8.0,12.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.371,0.452,0.486,0.938,2021,61
pre,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-07-09,5,0.22,1,49.0,41.0,5.0,9.0,2.0,0.0,1.0,14.0,4.0,0.0,1.0,10.0,12.0,6.0,2.0,1.0,10.0,0.0,0.0,0.0,0.22,0.347,0.341,0.688,2021,75
pre,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-07-10,1,0.25,1,33.0,32.0,3.0,8.0,1.0,0.0,2.0,15.0,3.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.25,0.242,0.469,0.711,2021,76
pre,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-07-11,2,0.378,1,41.0,37.0,11.0,14.0,3.0,0.0,3.0,26.0,9.0,0.0,0.0,10.0,9.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.378,0.385,0.703,1.088,2021,77
pre,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-11,9,0.194,1,41.0,31.0,6.0,6.0,0.0,0.0,0.0,6.0,5.0,4.0,0.0,11.0,8.0,9.0,0.0,0.0,4.0,2.0,1.0,0.0,0.194,0.375,0.194,0.569,2021,78
pre,3,2021,삼성,4,2021-08-13,2021-08-17,2021,삼성,2021-08-12,2,0.29,1,41.0,31.0,9.0,9.0,1.0,0.0,2.0,16.0,8.0,0.0,0.0,3.0,10.0,8.0,0.0,0.0,9.0,1.0,1.0,1.0,0.29,0.425,0.516,0.941,2021,79
pre,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-22,4,0.242,1,40.0,33.0,6.0,8.0,1.0,0.0,1.0,12.0,6.0,1.0,0.0,7.0,10.0,5.0,1.0,1.0,8.0,0.0,1.0,0.0,0.242,0.359,0.364,0.723,2021,88
pre,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-24,5,0.278,1,42.0,36.0,8.0,10.0,1.0,0.0,3.0,20.0,8.0,1.0,0.0,10.0,13.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.278,0.357,0.556,0.913,2021,89
pre,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-25,4,0.273,1,39.0,33.0,2.0,9.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,10.0,8.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.273,0.385,0.303,0.688,2021,90
pre,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-26,5,0.25,1,35.0,32.0,4.0,8.0,2.0,0.0,1.0,13.0,4.0,0.0,1.0,11.0,9.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.25,0.314,0.406,0.72,2021,91
pre,4,2021,키움,4,2021-08-28,2021-09-01,2021,키움,2021-08-27,2,0.333,1,39.0,36.0,4.0,12.0,2.0,0.0,0.0,14.0,3.0,0.0,0.0,7.0,9.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,0.333,0.359,0.389,0.748,2021,92
pre,5,2021,키움,6,2021-09-12,2021-09-22,2021,키움,2021-09-05,4,0.314,1,41.0,35.0,10.0,11.0,3.0,0.0,1.0,17.0,10.0,1.0,0.0,10.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.314,0.39,0.486,0.876,2021,100
